Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
0202O_13CP_CHCl,20.2175,0,,,,0,,,
1115O_12CP_CHCl,19.881,529,0.08,0.36778,4.04,751,0.64,-24.78,1.07854
0605O_12CP_nofum,20.665,0,,,,206,0.17,-25.45,1.07781
0716O_13CP_CHCl,19.2335,345,0.05,0.36795,4.52,382,0.33,-17.95,1.08601
0605O_13CP_nofum,20.0185,79,0.01,0.36858,6.24,431,0.36,-20.62,1.08308
0515O_12CP_CHCl,19.903,278,0.04,0.36939,8.46,554,0.47,-27.13,1.07596
0716O_12CP_nofum,19.4055,198,0.03,0.36936,8.37,136,0.12,-24.69,1.07863
0512O_12CP_nofum,20.1675,315,0.05,0.36945,8.62,388,0.33,-28.35,1.07463
1213O_13CP_nofum,19.2535,476,0.07,0.37010,10.39,236,0.21,-21.15,1.08251
1115O_13CP_CHCl,20.445,780,0.11,0.36808,4.86,"1,056",0.90,-24.16,1.07922
0402O_13CP_nofum,19.837,292,0.04,0.36560,-1.91,341,0.27,-22.96,1.08052
0202O_12CP_CHCl,19.8285,0,,,,61,0.05,-22.84,1.08066
1015O_12CP_CHCl,19.7735,906,0.13,0.36788,4.32,753,0.61,-25.77,1.07746
Blank_CHCl,20.1395,0,,,,0,,,
0807O_12CP_CHCl,20.6345,52,0.01,0.36748,3.23,92,0.07,-22.81,1.08070
0308O_13CP_CHCl,20.1995,420,0.06,0.37072,12.10,245,0.19,-15.65,1.08853
Blank_CHCl,20.1395,0,,,,0,,,
0713O_12CP_CHCl,20.3605,687,0.09,0.36843,5.83,388,0.30,-23.23,1.08023
0615O_13CP_CHCl,20.2605,866,0.12,0.36725,2.58,"1,400",1.12,-24.40,1.07896
0404O_13CP_nofum,19.237,906,0.13,0.36718,2.39,343,0.28,-21.75,1.08185
1107O_12CP_CHCl,20.2675,779,0.10,0.37016,10.56,"1,984",1.60,-14.63,1.08964
1205O_13CP_nofum,19.7885,111,0.02,0.36685,1.50,410,0.33,-23.45,1.07999
0112O_12CP_CHCl,20.251,101,0.02,0.36822,5.26,772,0.61,-25.95,1.07725
0402O_13CP_CHCl,20.1895,502,0.07,0.36577,-1.46,552,0.43,-20.62,1.08309
0807O_13CP_nofum,19.854,0,,,,95,0.07,-12.49,1.09198
0218O_12CP_nofum,20.4865,76,0.01,0.36784,4.21,249,0.19,-27.24,1.07584
0515O_13CP_nofum,20.9525,113,0.02,0.36683,1.44,369,0.28,-24.77,1.07855
0304O_12CP_CHCl,19.4305,156,0.02,0.36597,-0.91,309,0.25,-23.96,1.07943
1005O_12CP_CHCl,20.0455,478,0.07,0.36770,3.82,785,0.62,-24.05,1.07934
0716O_12CP_CHCl,19.1975,448,0.07,0.36901,7.40,393,0.32,-24.66,1.07867
0605O_12CP_CHCl,20.742,346,0.05,0.36712,2.23,468,0.36,-22.87,1.08062
0304O_12CP_nofum,20.8995,89,0.01,0.36512,-3.24,162,0.12,-24.53,1.07881
0402O_12CP_nofum,20.442,380,0.05,0.36581,-1.35,496,0.38,-18.34,1.08558
0607O_13CP_CHCl,20.546,407,0.06,0.36648,0.49,464,0.36,-20.31,1.08342
0112O_13CP_nofum,19.309,0,,,,127,0.10,-18.70,1.08518
0916O_13CP_nofum,19.195,537,0.08,0.37106,13.03,208,0.17,-22.97,1.08052
0706O_13CP_nofum,20.028,384,0.05,0.36824,5.31,226,0.18,-17.77,1.08621
Blank_nofum,19.871,0,,,,0,,,
1213O_13CP_CHCl,20.3415,581,0.08,0.37013,10.48,317,0.25,-19.22,1.08462
